Model,Metric,Mean,Std
Logistic Regression,accuracy,0.8911539848539487,0.01693276133092012
Logistic Regression,precision,0.7926605195854085,0.08595410215541462
Logistic Regression,recall,0.4421052631578948,0.07981974151633213
Logistic Regression,f1,0.5653110469554011,0.07993967814365592
Logistic Regression,roc_auc,0.8378534206613286,0.03389861161066696
Logistic Regression,pr_auc,0.6517540105389947,0.06913733411517385
Logistic Regression (Balanced),accuracy,0.7482618103137397,0.028944779729561422
Logistic Regression (Balanced),precision,0.3639660758709131,0.03432310017305656
Logistic Regression (Balanced),recall,0.731578947368421,0.07302335223953475
Logistic Regression (Balanced),f1,0.4847798477560904,0.03578734551161578
Logistic Regression (Balanced),roc_auc,0.826779415852352,0.03216010376357975
Logistic Regression (Balanced),pr_auc,0.6068755446313292,0.08914056327963414
Random Forest,accuracy,0.8631013342949874,0.01004696088726615
Random Forest,precision,0.8752777777777776,0.13437239805117973
Random Forest,recall,0.1894736842105263,0.08196006053893388
Random Forest,f1,0.3014668729661308,0.10609682737677104
Random Forest,roc_auc,0.8100620822167709,0.029735316740004996
Random Forest,pr_auc,0.5678253648329342,0.0811048055378034
Gradient Boosting,accuracy,0.8758456545257843,0.011864636960577178
Gradient Boosting,precision,0.7633333333333333,0.09142115114844812
Gradient Boosting,recall,0.3473684210526316,0.07981974151633212
Gradient Boosting,f1,0.47068648976472305,0.07627646345247259
Gradient Boosting,roc_auc,0.8103399746867552,0.018082651891104643
Gradient Boosting,pr_auc,0.5896315841571301,0.042662949854451716
